margin,manufacturing-cost,number-of-friendships,monthly-fee,random-join?,number-of-persons,network-profit,network-sale-revenue,network-fee-revenue,network-sponsor-cost,network-manufacturing-cost
0.32,0.8,300,100,TRUE,300,-38646,184277.28,8500,14626.86,216796.8
0.33,0.8,300,100,TRUE,300,-43129,187202.69,9800,16605.63,223525.6
0.33,0.8,300,100,TRUE,300,-50957,208483.23,8900,19405.06,248935.2
0.33,0.8,300,100,TRUE,300,-48801,199814.1,8700,18730.86,238584
0.33,0.8,300,100,TRUE,300,-47867,195132.14,9000,19005.73,232993.6
0.33,0.8,300,100,TRUE,300,-46651,202784.88,9800,17104.36,242131.2
0.33,0.8,300,100,TRUE,300,-51485,198157.19,9000,22036.95,236605.6
0.33,0.8,300,100,TRUE,300,-48415,201655.26,9400,18688.03,240782.4
0.33,0.8,300,100,TRUE,300,-47566,199215.12,8500,17411.91,237868.8
0.33,0.8,300,100,TRUE,300,-52487,201911.2,9000,22310.38,241088
0.33,0.8,300,100,TRUE,300,-49305,206428.34,10100,19351.78,246481.6
0.34,0.8,300,100,TRUE,300,-52864,199186.68,9800,20412.4,241438.4
0.34,0.8,300,100,TRUE,300,-51719,194286.84,9300,19806.16,235499.2
0.34,0.8,300,100,TRUE,300,-51835,192073.86,9000,20092.1,232816.8
0.34,0.8,300,100,TRUE,300,-50534,190146.66,10000,20199.7,230480.8
0.34,0.8,300,100,TRUE,300,-48383,187430.1,9200,17825.57,227188
0.34,0.8,300,100,TRUE,300,-52018,188841.84,9100,21060.46,228899.2
0.34,0.8,300,100,TRUE,300,-47699,187324.5,8800,16763.11,227060
0.34,0.8,300,100,TRUE,300,-50639,197622.48,10000,18719.52,239542.4
0.34,0.8,300,100,TRUE,300,-50508,192613.74,9700,19350.37,233471.2
