margin,manufacturing-cost,number-of-friendships,monthly-fee,random-join?,number-of-persons,network-profit,network-sale-revenue,network-fee-revenue,network-sponsor-cost,network-manufacturing-cost
0.34,0.2,300,100,TRUE,300,125103,186729.84,9800,14841.82,56584.8
0.34,0.2,300,100,TRUE,300,130703,204042.3,9600,21108.52,61831
0.34,0.2,300,100,TRUE,300,127505,197672.64,9000,19267.04,59900.8
0.34,0.2,300,100,TRUE,300,132121,200164.8,9900,17287.87,60656
0.34,0.2,300,100,TRUE,300,123865,191453.46,9200,18772.68,58016.2
0.34,0.2,300,100,TRUE,300,125226,195902.52,9200,20511.89,59364.4
0.34,0.2,300,100,TRUE,300,129296,199151.04,9700,19205.74,60348.8
0.34,0.2,300,100,TRUE,300,120843,188014.86,9600,19797.8,56974.2
0.34,0.2,300,100,TRUE,300,128190,196942.68,9600,18672.93,59679.6
0.35,0.2,300,100,TRUE,300,130801,198231.8,9900,16335.9,60994.4
0.35,0.2,300,100,TRUE,300,121445,191394.45,9700,20758.78,58890.6
0.35,0.2,300,100,TRUE,300,127317,195769.6,10100,18315.93,60236.8
