"BehaviorSpace results (NetLogo 4.1.2)"
"oriflame7.nlogo"
"max-profit1"
"05/03/2011 14:19:07:568 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-37","37","-37","37"
"[run number]","margin","manufacturing-cost","number-of-friendships","monthly-fee","random-join?","number-of-persons","[step]","network-profit","network-sale-revenue","network-fee-revenue","network-sponsor-cost","network-manufacturing-cost"
"251","0.26","0.8","300","100","true","300","34","-21836","191592.66","8300","14601.43","207127.2"
"252","0.26","0.8","300","100","true","300","26","-18671","194451.28","7800","10704.270000000002","210217.6"
"253","0.26","0.8","300","100","true","300","29","-22866","197120.46","8200","15082.9","213103.2"
"254","0.26","0.8","300","100","true","300","32","-23250","206158.82","7700","14234.539999999997","222874.40000000002"
"255","0.26","0.8","300","100","true","300","32","-14855","195522.06","7600","6601.830000000005","211375.2"
"256","0.26","0.8","300","100","true","300","33","-19260","201936.38","7900","10786.87","218309.6"
"257","0.26","0.8","300","100","true","300","30","-27368","208546.8","7700","18158.91","225456"
"258","0.26","0.8","300","100","true","300","31","-28586","210475.24","7600","19120.719999999998","227540.80000000002"
"259","0.26","0.8","300","100","true","300","37","-21828","198408.8","7000","12740.679999999997","214496"
"260","0.26","0.8","300","100","true","300","34","-19931","200970.68","7100","10735.779999999999","217265.6"
"261","0.27","0.8","300","100","true","300","23","-23033","199288.54","8100","12023.009999999998","218398.40000000002"
"262","0.27","0.8","300","100","true","300","30","-25845","199644.05","7200","13901.479999999996","218788"
"263","0.27","0.8","300","100","true","300","32","-27031","198792.87","7700","15668.3","217855.2"
"264","0.27","0.8","300","100","true","300","30","-26060","201208.44","9300","16065.739999999998","220502.40000000002"
"265","0.27","0.8","300","100","true","300","31","-29037","207419.28","7900","17047.579999999998","227308.80000000002"
"267","0.27","0.8","300","100","true","300","28","-25799","210697.71","8100","13695.010000000002","230901.6"
"266","0.27","0.8","300","100","true","300","28","-21124","195093.22999999998","8200","10616.419999999998","213800.80000000002"
"269","0.27","0.8","300","100","true","300","24","-20655","196575.86","7600","9405.510000000006","215425.6"
