"BehaviorSpace results (NetLogo 4.1.2)"
"oriflame7.nlogo"
"max-profit1"
"05/03/2011 12:46:43:547 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-37","37","-37","37"
"[run number]","margin","manufacturing-cost","number-of-friendships","monthly-fee","random-join?","number-of-persons","[step]","network-profit","network-sale-revenue","network-fee-revenue","network-sponsor-cost","network-manufacturing-cost"
"224","0.23","0.4","300","100","false","300","23","83172","189305.27000000002","6400","14192.660000000002","98340.40000000001"
"225","0.23","0.4","300","100","false","300","24","82739","195880.30000000002","6100","17485.52","101756"
"226","0.23","0.4","300","100","false","300","29","83459","191855.51","5900","14631.37","99665.20000000001"
"227","0.23","0.4","300","100","false","300","23","90511","214280.22","6500","18954.449999999997","111314.40000000001"
"228","0.23","0.4","300","100","false","300","22","89705","202513.08000000002","6300","13906.029999999999","105201.6"
"229","0.23","0.4","300","100","false","300","23","82915","190825.25","6000","14780.24","99130"
"230","0.23","0.4","300","100","false","300","23","84316","197473.43","6500","17073.34","102583.6"
"231","0.24000000000000002","0.4","300","100","false","300","26","88963","212192","7000","18549.500000000004","111680"
"232","0.24000000000000002","0.4","300","100","false","300","28","77910","190794.2","6700","19166.579999999998","100418"
"234","0.24000000000000002","0.4","300","100","false","300","23","81081","193679.16","7100","17761.44","101936.40000000001"
"235","0.24000000000000002","0.4","300","100","false","300","24","90233","208514.36000000002","7000","15537.380000000001","109744.40000000001"
"233","0.24000000000000002","0.4","300","100","false","300","25","82758","193912.48","6300","15395.760000000002","102059.20000000001"
"236","0.24000000000000002","0.4","300","100","false","300","28","82880","197252.68","6700","17255.909999999996","103817.20000000001"
"237","0.24000000000000002","0.4","300","100","false","300","28","82850","193066.6","6100","14702.53","101614"
"238","0.24000000000000002","0.4","300","100","false","300","25","86229","197684.36000000002","6300","13711.059999999998","104044.40000000001"
"239","0.24000000000000002","0.4","300","100","false","300","23","86202","202116.68","6600","16137.939999999997","106377.20000000001"
"240","0.24000000000000002","0.4","300","100","false","300","30","81558","193726.28","6600","16807.54","101961.20000000001"
"241","0.25","0.4","300","100","false","300","24","75174","188386.5","6600","19340.140000000003","100472.8"
"242","0.25","0.4","300","100","false","300","28","82008","199998","6800","18124.720000000005","106665.6"
"243","0.25","0.4","300","100","false","300","33","83596","199580.25","6700","16241.42","106442.8"
"244","0.25","0.4","300","100","false","300","28","79356","190596.75","6900","16489.61","101651.6"
"245","0.25","0.4","300","100","false","300","25","87895","203927.25","7600","14871.220000000001","108761.20000000001"
"246","0.25","0.4","300","100","false","300","26","76552","185816.25","6600","16762.31","99102"
"247","0.25","0.4","300","100","false","300","27","84045","201767.25","6900","17012.87","107609.20000000001"
"248","0.25","0.4","300","100","false","300","25","85345","210567","7500","20419.860000000004","112302.40000000001"
"249","0.25","0.4","300","100","false","300","27","83608","203853.75","7000","18523.58","108722"
"250","0.25","0.4","300","100","false","300","25","77852","187767","6700","16472.69","100142.40000000001"
"251","0.26","0.4","300","100","false","300","26","82966","200051.6","7100","16049.49","108136"
"252","0.26","0.4","300","100","false","300","26","83768","202999.02","7800","17302.300000000003","109729.20000000001"
"254","0.26","0.4","300","100","false","300","27","87607","214397.24","7500","18400.259999999995","115890.40000000001"
"253","0.26","0.4","300","100","false","300","24","83437","202654.18","8000","17674.090000000004","109542.8"
"255","0.26","0.4","300","100","false","300","25","86878","210478.2","7200","17028.519999999997","113772"
"256","0.26","0.4","300","100","false","300","26","78246","199310.86","7000","20329.3","107735.6"
"257","0.26","0.4","300","100","false","300","25","84355","201567.86","7300","15556.989999999996","108955.6"
"258","0.26","0.4","300","100","false","300","25","80216","192494.72","7100","15327.349999999999","104051.20000000001"
"259","0.26","0.4","300","100","false","300","26","79734","198781.76","6700","18298.290000000005","107449.6"
"260","0.26","0.4","300","100","false","300","24","75360","187132.68","6400","17019.52","101152.8"
"261","0.27","0.4","300","100","false","300","28","80748","203900.68","7800","19225.939999999995","111726.40000000001"
"263","0.27","0.4","300","100","false","300","24","81462","208337.62","7800","20518.03","114157.6"
"262","0.27","0.4","300","100","false","300","34","71616","182068.57","6600","17288.54","99763.6"
"264","0.27","0.4","300","100","false","300","25","67968","180656.75","6600","20298.39","98990"
"266","0.27","0.4","300","100","false","300","24","82734","198498.68","7500","14498.2","108766.40000000001"
"265","0.27","0.4","300","100","false","300","22","78503","199142.54","7600","19120.84","109119.20000000001"
"267","0.27","0.4","300","100","false","300","29","76078","191084.07","7100","17402.84","104703.6"
"268","0.27","0.4","300","100","false","300","25","79950","204072.96","7300","19601.739999999998","111820.8"
"269","0.27","0.4","300","100","false","300","24","81919","205763.63999999998","7400","18497.46","112747.20000000001"
"270","0.27","0.4","300","100","false","300","28","79049","195996.97","7200","16752.79","107395.6"
"271","0.28","0.4","300","100","false","300","23","80358","203294.88","7700","17694.89","112941.6"
"272","0.28","0.4","300","100","false","300","26","74586","202582.08","7600","23050.38000000001","112545.6"
"273","0.28","0.4","300","100","false","300","27","72863","192090.24","7400","19910.530000000002","106716.8"
